"Designator","Footprint","Mid X","Mid Y","Ref X","Ref Y","Pad X","Pad Y","Layer","Rotation","Comment"
"R101","RES0603N","1793.535mil","2291mil","1827mil","2291mil","1827mil","2291mil","T","180.00","680R"
"R104","RES0603N","1195mil","2608.535mil","1195mil","2575.07mil","1195mil","2575.07mil","T","90.00","0R"
"R105","RES0603N","1670.492mil","2477mil","1703.957mil","2477mil","1703.957mil","2477mil","T","180.00","10K"
"R202","RES0603N","3202.537mil","1648mil","3236.002mil","1648mil","3236.002mil","1648mil","T","180.00","0R"
"R203","RES0603N","3202.537mil","1586mil","3236mil","1586mil","3236.002mil","1586mil","T","180.00","0R"
"R204","RES0603N","3202.537mil","1405mil","3236mil","1405mil","3236.002mil","1405mil","T","180.00","0R"
"R205","RES0603N","1994.464mil","713mil","1960.999mil","713mil","1960.999mil","713mil","T","0.00","0R"
"R206","RES0603N","2614.463mil","2120mil","2581mil","2120mil","2580.998mil","2120mil","T","0.00","510R"
"R207","RES0603N","2615.535mil","2290mil","2649mil","2290mil","2649mil","2290mil","T","180.00","NC/10K"
"R208","RES0603N","3090.002mil","2003.505mil","3090mil","1970.04mil","3090.002mil","1970.04mil","T","90.00","4K7"
"R209","RES0603N","2615.505mil","2176mil","2582.04mil","2176mil","2582.04mil","2176mil","T","0.00","0R"
"R210","RES0603N","2615.505mil","2233mil","2648.97mil","2233mil","2648.97mil","2233mil","T","180.00","0R"
"R211","RES0603N","2011mil","1735.465mil","2011mil","1702mil","2011mil","1702mil","T","90.00","1M"
"R212","RES0603N","3154mil","2003.505mil","3154mil","1970.04mil","3154mil","1970.04mil","T","90.00","10K"
"R301","RES0603N","1287mil","632.505mil","1287mil","665.97mil","1287mil","665.97mil","T","270.00","4K7"
"R302","RES0603N","540.505mil","1541mil","573.971mil","1541mil","573.97mil","1541mil","T","180.00","4K7"
"R303","RES0603N","540.505mil","1423mil","573.97mil","1423mil","573.97mil","1423mil","T","180.00","4K7"
"R304","RES0603N","1994.464mil","657mil","1961mil","657mil","1960.999mil","657mil","T","0.00","0R"
"R308","RES0603N","1456.495mil","1066mil","1423.03mil","1065.999mil","1423.03mil","1066mil","T","0.00","0R"
"R313","RES0603N","540.505mil","1318mil","573.97mil","1318mil","573.97mil","1318mil","T","180.00","0R"
"R315","RES0603N","540.505mil","889mil","573.97mil","889mil","573.97mil","889mil","T","180.00","0R"
"R318","RES0603N","1868mil","480.537mil","1868mil","514mil","1868mil","514.002mil","T","270.00","2K2"
"R320","RES0603N","787mil","1431.495mil","787mil","1398.03mil","787mil","1398.03mil","T","90.00","0R"
"R321","RES0603N","1456.495mil","1265mil","1423.03mil","1264.999mil","1423.03mil","1265mil","T","0.00","0R"
"U302","DBV5","217mil","1573.857mil","217mil","1573.857mil","264.244mil","1536.456mil","T","90.00","NC/74LVC1G125"
"U304","DBV5","217mil","1437.715mil","217mil","1437.714mil","264.244mil","1400.314mil","T","90.00","NC/74LVC1G125"
"U305","DBV5","217mil","1301.571mil","217mil","1301.571mil","264.244mil","1264.17mil","T","90.00","NC/74LVC1G125"
"U306","DBV5","217mil","1165.429mil","217mil","1165.428mil","264.244mil","1128.028mil","T","90.00","74LVC1G125"
"U307","DBV5","217mil","1029.285mil","217mil","1029.286mil","264.244mil","991.884mil","T","90.00","74LVC1G125"
"U308","DBV5","217mil","606.001mil","217mil","606mil","264.244mil","568.6mil","T","90.00","NC/74LVC1G125"
"U309","DBV5","217mil","893.143mil","217mil","893.143mil","264.244mil","855.742mil","T","90.00","74LVC1G125"
"U310","DBV5","217mil","757.001mil","217mil","757mil","264.244mil","719.6mil","T","90.00","74LVC1G125"
"Y101","CX3225SB","1069.213mil","2611.566mil","1020mil","2575.149mil","1020mil","2575.149mil","T","0.00","32MHz"
"C105","CAP0603N","1368mil","1687.504mil","1368mil","1719mil","1368mil","1719mil","T","270.00","2.2uF"
"C106","CAP0603N","1408mil","1431.494mil","1408mil","1462.99mil","1408mil","1462.99mil","T","270.00","2.2uF"
"C107","CAP0603N","953.008mil","2088mil","984.504mil","2088mil","984.504mil","2088mil","B","180.00","0.47uF"
"C108","CAP0603N","1233mil","1431.494mil","1233mil","1462.99mil","1233mil","1462.99mil","T","270.00","0.1uF"
"C109","CAP0603N","1189mil","2397.497mil","1189mil","2366mil","1189mil","2366.001mil","B","90.00","1uF"
"C110","CAP0603N","720.504mil","2146mil","752mil","2146mil","752mil","2146mil","T","180.00","0.1uF"
"C111","CAP0603N","953.008mil","2209mil","984.504mil","2209mil","984.504mil","2209mil","B","180.00","0.47uF"
"C112","CAP0603N","1530.496mil","2143mil","1499mil","2143mil","1499mil","2143mil","B","0.00","0.47uF"
"C113","CAP0603N","1530.496mil","1957mil","1499.001mil","1957mil","1499mil","1957mil","B","0.00","0.1uF"
"C202","CAP0603N","2113.534mil","1853mil","2145.03mil","1853mil","2145.03mil","1853mil","T","180.00","22pF"
"C103","CAP0603N","1102mil","1431.494mil","1102mil","1462.99mil","1102mil","1462.99mil","T","270.00","0.47uF"
"C104","CAP0603N","1045mil","1431.494mil","1045mil","1462.99mil","1045mil","1462.99mil","T","270.00","0.1uF"
"U101","BGA_256","1192mil","2127mil","1192mil","2127mil","1487.275mil","1831.724mil","T","180.00","EG4X20BG256"
"U303","LQFP64-SLUG","969mil","1025mil","969mil","1025mil","1187.504mil","877.362mil","T","180.00","ADV7611BSWZ"
"C124","1206C","866mil","2627.346mil","866mil","2683.464mil","866mil","2683.464mil","T","270.00","10uF/10V"
"Y202","CX3225SB","2766.527mil","2266.787mil","2730.109mil","2316mil","2730.11mil","2316mil","T","270.00","16MHz"
"P301","TRH_ARK500-2","3737mil","641mil","3737mil","541mil","3737mil","541mil","T","90.00","KF128-5.08-2P"
"P401","JST_SH_8_Pin_Side_Entry","3783.686mil","2502.999mil","3889mil","2503mil","3707.898mil","2365.204mil","T","90.00","JST SH 8 Pin Side Entry"
"U311","SOT23-3N","720.402mil","464.402mil","683mil","427mil","683mil","427mil","T","0.00","SM05"
"R106","RES0603N","1927.535mil","1813mil","1961mil","1813mil","1961mil","1813mil","T","180.00","330R"
"R404","RES0603N","3433.465mil","674mil","3400mil","674mil","3400mil","674mil","T","0.00","0R"
"U404","MP1584_SMD","2859.5mil","996mil","3120mil","560mil","3120mil","560mil","B","180.00","MP1584EN"
"U301","SOT23-3N","220.402mil","464.402mil","183mil","427mil","183mil","427mil","T","0.00","SM05"
"J202","1747981-1","3660.346mil","1683.835mil","3532mil","1861mil","3524.126mil","1861mil","T","90.00","46765-1301"
"J201","1747981-1","2479.835mil","240.654mil","2657mil","369mil","2657mil","376.874mil","T","0.00","46765-1301"
"C301","CAP0603N","108mil","600.504mil","108mil","632mil","108mil","632mil","T","270.00","0.1uF"
"C205","DEBB33D102KC3A","3652.362mil","2108mil","3800mil","2108mil","3800mil","2108mil","T","180.00","1000pF/2kV"
"C210","DEBB33D102KC3A","2922mil","280.638mil","2922mil","133mil","2922mil","133mil","T","90.00","1000pF/2kV"
"U312","SOT23-3N","1467.402mil","464.402mil","1430mil","427.001mil","1430mil","427mil","T","0.00","SM05"
"U313","SOT23-3N","1058.402mil","464.402mil","1021mil","427.001mil","1021mil","427mil","T","0.00","SM05"
"P304","TRH_ARK500-2","260mil","155mil","160mil","155mil","160mil","155mil","T","0.00","KF128-5.08-2P"
"P305","TRH_ARK500-2","1861mil","155mil","1761mil","155mil","1761mil","155mil","T","0.00","KF128-5.08-2P"
"R305","RES0603N","540.505mil","1482mil","573.97mil","1482mil","573.97mil","1482mil","T","180.00","4K7"
"J301","DCJACK2.5","3463.5mil","302.925mil","3341mil","205mil","3341mil","205mil","T","90.00","PWR2.5"
"P306","TRH_ARK500-2","661mil","155mil","561mil","155mil","561mil","155mil","T","0.00","KF128-5.08-2P"
"P302","TRH_ARK500-2","1460mil","155mil","1360mil","155mil","1360mil","155mil","T","0.00","KF128-5.08-2P"
"P303","TRH_ARK500-2","1061mil","155mil","961mil","155mil","961mil","155mil","T","0.00","KF128-5.08-2P"
